,date,import_weighted_avg_tariff
0,2025-01-01,2.3
1,2025-01-02,2.3
2,2025-01-03,2.3
3,2025-01-04,2.3
4,2025-01-05,2.3
5,2025-01-06,2.3
6,2025-01-07,2.3
7,2025-01-08,2.3
8,2025-01-09,2.3
9,2025-01-10,2.3
10,2025-01-11,2.3
11,2025-01-12,2.3
12,2025-01-13,2.3
13,2025-01-14,2.3
14,2025-01-15,2.3
15,2025-01-16,2.3
16,2025-01-17,2.3
17,2025-01-18,2.3
18,2025-01-19,2.3
19,2025-01-20,2.3
20,2025-01-21,2.3
21,2025-01-22,2.3
22,2025-01-23,2.3
23,2025-01-24,2.3
24,2025-01-25,2.3
25,2025-01-26,2.3
26,2025-01-27,2.3
27,2025-01-28,2.3
28,2025-01-29,2.3
29,2025-01-30,2.3
30,2025-01-31,2.3
31,2025-02-01,2.3
32,2025-02-02,2.3
33,2025-02-03,2.3
34,2025-02-04,4.981420886093995
35,2025-02-05,4.981420886093995
36,2025-02-06,4.981420886093995
37,2025-02-07,4.981420886093995
38,2025-02-08,4.981420886093995
39,2025-02-09,4.981420886093995
40,2025-02-10,4.981420886093995
41,2025-02-11,4.981420886093995
42,2025-02-12,4.981420886093995
43,2025-02-13,4.981420886093995
44,2025-02-14,4.981420886093995
45,2025-02-15,4.981420886093995
46,2025-02-16,4.981420886093995
47,2025-02-17,4.981420886093995
48,2025-02-18,4.981420886093995
49,2025-02-19,4.981420886093995
50,2025-02-20,4.981420886093995
51,2025-02-21,4.981420886093995
52,2025-02-22,4.981420886093995
53,2025-02-23,4.981420886093995
54,2025-02-24,4.981420886093995
55,2025-02-25,4.981420886093995
56,2025-02-26,4.981420886093995
57,2025-02-27,4.981420886093995
58,2025-02-28,4.981420886093995
59,2025-03-01,4.981420886093995
60,2025-03-02,4.981420886093995
61,2025-03-03,4.981420886093995
62,2025-03-04,4.981420886093995
63,2025-03-05,4.981420886093995
64,2025-03-06,6.548998509429659
65,2025-03-07,6.548998509429659
66,2025-03-08,6.548998509429659
67,2025-03-09,6.548998509429659
68,2025-03-10,6.548998509429659
69,2025-03-11,6.548998509429659
70,2025-03-12,7.230319492984171
71,2025-03-13,7.230319492984171
72,2025-03-14,7.230319492984171
73,2025-03-15,7.230319492984171
74,2025-03-16,7.230319492984171
75,2025-03-17,7.230319492984171
76,2025-03-18,7.230319492984171
77,2025-03-19,7.230319492984171
78,2025-03-20,7.230319492984171
79,2025-03-21,7.230319492984171
80,2025-03-22,7.230319492984171
81,2025-03-23,7.230319492984171
82,2025-03-24,7.230319492984171
83,2025-03-25,7.230319492984171
84,2025-03-26,7.230319492984171
85,2025-03-27,7.230319492984171
86,2025-03-28,7.230319492984171
87,2025-03-29,7.230319492984171
88,2025-03-30,7.230319492984171
89,2025-03-31,7.230319492984171
90,2025-04-01,7.230319492984171
91,2025-04-02,7.230319492984171
92,2025-04-03,8.948553246019209
93,2025-04-04,8.948553246019209
94,2025-04-05,24.374111614165358
95,2025-04-06,24.374111614165358
96,2025-04-07,24.374111614165358
97,2025-04-08,30.221730878719193
98,2025-04-09,30.221730878719193
99,2025-04-10,30.221730878719193
100,2025-04-11,22.15256226634243
101,2025-04-12,22.15256226634243
102,2025-04-13,22.15256226634243
103,2025-04-14,22.15256226634243
104,2025-04-15,22.15256226634243
105,2025-04-16,22.15256226634243
106,2025-04-17,22.15256226634243
107,2025-04-18,22.15256226634243
108,2025-04-19,22.15256226634243
109,2025-04-20,22.15256226634243
110,2025-04-21,22.15256226634243
111,2025-04-22,22.15256226634243
112,2025-04-23,22.15256226634243
113,2025-04-24,22.15256226634243
114,2025-04-25,22.15256226634243
115,2025-04-26,22.15256226634243
116,2025-04-27,22.15256226634243
117,2025-04-28,22.15256226634243
118,2025-04-29,22.15256226634243
119,2025-04-30,22.15256226634243
120,2025-05-01,22.15256226634243
121,2025-05-02,22.15256226634243
122,2025-05-03,22.15256226634243
123,2025-05-04,22.15256226634243
124,2025-05-05,22.15256226634243
125,2025-05-06,22.15256226634243
126,2025-05-07,22.15256226634243
127,2025-05-08,22.15256226634243
128,2025-05-09,22.15256226634243
129,2025-05-10,22.15256226634243
130,2025-05-11,22.15256226634243
131,2025-05-12,13.83118363795429
132,2025-05-13,13.83118363795429
